n: 9, type: planar, runs: 30, n_train: 100, n_inf: 50, path: [0 0 0] to [2 2 2]

run, seed, dr mse, dr rmse, dr_r2_score, model unstructured mse, model unstructured rmse, model unstructured r2_score, model structured mse, model_structured rmse, model structured r2_score
1, 2146016, [0.00397958 0.00397958 0.00397958], [0.05121128 0.05121128 0.05121128], [  0.97436328   0.97586906 -18.8716088 ], [0.00568909 0.00569275 0.0060013 ], [0.06108897 0.06110873 0.06282919], [  0.96333491   0.96548384 -28.57644474], [0.00568811 0.00569218 0.00600104], [0.06108419 0.06110597 0.0628278 ], [  0.96334122   0.96548734 -28.57516911]
2, 7346498, [0.00396737 0.00396737 0.00396737], [0.05113478 0.05113478 0.05113478], [  0.9752101    0.97652617 -51.48743291], [0.00568729 0.00568989 0.00600655], [0.06108345 0.06109488 0.06286894], [  0.96445368   0.9663273  -77.8277539 ], [0.00568729 0.00568989 0.00600655], [0.06108343 0.06109491 0.06286894], [  0.96445371   0.96632728 -77.82775411]
3, 473036, [0.00398463 0.00398463 0.00398463], [0.0512429 0.0512429 0.0512429], [  0.97638029   0.97414163 -15.60748522], [0.00569192 0.00569112 0.0060078 ], [0.06110025 0.06109993 0.06286655], [  0.9662593    0.96305037 -23.71083789], [0.00569183 0.00569066 0.00600771], [0.06109977 0.06109772 0.06286606], [  0.96625983   0.96305332 -23.71047305]
4, 9240333, [0.00396785 0.00396785 0.00396785], [0.05113759 0.05113759 0.05113759], [  0.9744995    0.97684228 -17.3024415 ], [0.00567949 0.00567827 0.00598854], [0.06104442 0.06103295 0.06276764], [  0.96349108   0.96686867 -26.3702848 ], [0.00567949 0.00567829 0.00598855], [0.06104444 0.06103308 0.06276766], [  0.96349108   0.96686855 -26.37029924]
5, 597693, [0.0039843 0.0039843 0.0039843], [0.05124087 0.05124087 0.05124087], [  0.97457837   0.97529231 -19.70161807], [0.00569587 0.0056966  0.0060078 ], [0.06112467 0.06112889 0.06286272], [  0.9636413    0.96467295 -29.78973009], [0.00569546 0.00569628 0.00600768], [0.06112259 0.06112732 0.06286207], [  0.96364389   0.96467494 -29.78911125]
6, 63418, [0.00396787 0.00396787 0.00396787], [0.05113784 0.05113784 0.05113784], [  0.97609505   0.97490899 -34.80569111], [0.00568774 0.00568459 0.00599347], [0.06108435 0.06106698 0.06278987], [  0.96574082   0.96404294 -52.50034962], [0.00568773 0.00568456 0.00599346], [0.06108429 0.0610668  0.06278983], [  0.96574089   0.96404316 -52.50027712]
7, 6484451, [0.00397708 0.00397708 0.00397708], [0.05119557 0.05119557 0.05119557], [  0.97449906   0.97646656 -21.40512868], [0.00568815 0.00569081 0.00600557], [0.06108501 0.06109643 0.06285759], [  0.96351286   0.96632338 -32.39798471], [0.00568805 0.00569079 0.00600555], [0.0610845  0.06109629 0.06285748], [  0.96351348   0.96632351 -32.39787517]
8, 8268099, [0.00398157 0.00398157 0.00398157], [0.05122378 0.05122378 0.05122378], [  0.97477823   0.9751309  -20.75878045], [0.00569381 0.00569421 0.00600607], [0.06111426 0.06111734 0.06285476], [  0.96391617   0.96443203 -31.40529167], [0.00569355 0.00569403 0.006006  ], [0.06111291 0.06111647 0.06285436], [  0.96391782   0.96443319 -31.4048907 ]
9, 4609755, [0.00397172 0.00397172 0.00397172], [0.0511619 0.0511619 0.0511619], [  0.97452373   0.97550092 -18.20790685], [0.00568016 0.00568241 0.00599309], [0.06104227 0.06105393 0.06278751], [  0.96355234   0.96494413 -27.63542568], [0.00568015 0.0056824  0.00599309], [0.06104224 0.06105391 0.0627875 ], [  0.96355237   0.96494416 -27.63541852]
10, 1227398, [0.00397022 0.00397022 0.00397022], [0.0511525 0.0511525 0.0511525], [  0.97504587   0.97500772 -21.12384846], [0.00568123 0.00568176 0.00599317], [0.06104809 0.06105061 0.06278801], [  0.964286     0.96422203 -31.99930032], [0.00568056 0.005681   0.00599294], [0.06104491 0.06104675 0.06278674], [  0.96429018   0.96422682 -31.99800286]
11, 1213000, [0.00398688 0.00398688 0.00398688], [0.05125703 0.05125703 0.05125703], [  0.97427      0.97555613 -16.79900781], [0.00569533 0.00569868 0.00600828], [0.06112125 0.06113953 0.06286464], [  0.96322692   0.96506066 -25.45017392], [0.00569533 0.00569868 0.00600828], [0.06112122 0.06113952 0.06286464], [  0.96322696   0.96506067 -25.45016841]
12, 5065025, [0.00397696 0.00397696 0.00397696], [0.0511948 0.0511948 0.0511948], [  0.97440974   0.97638534 -19.65829143], [0.00568637 0.00568791 0.00600342], [0.06107532 0.06108019 0.06284544], [  0.96339546   0.96622336 -29.79081267], [0.00568634 0.0056879  0.00600341], [0.06107516 0.06108014 0.0628454 ], [  0.96339566   0.9662234  -29.79077859]
13, 6171846, [0.0039676 0.0039676 0.0039676], [0.05113605 0.05113605 0.05113605], [  0.9754349    0.97464515 -18.9364572 ], [0.00567793 0.00567674 0.00598989], [0.0610308  0.06102557 0.06277225], [  0.96483746   0.96371381 -28.77500158], [0.00567787 0.00567661 0.00598986], [0.06103058 0.061025   0.0627721 ], [  0.96483778   0.9637146  -28.77485731]
14, 7083147, [0.00398276 0.00398276 0.00398276], [0.05123111 0.05123111 0.05123111], [  0.97397504   0.97588235 -13.00737286], [0.00568791 0.00568855 0.00600131], [0.06108488 0.06108561 0.06283069], [  0.96281624   0.96555183 -19.85266014], [0.00568749 0.00568843 0.00600123], [0.06108354 0.06108543 0.06283028], [  0.96281898   0.96555255 -19.85236404]
15, 1588420, [0.00396827 0.00396827 0.00396827], [0.05114023 0.05114023 0.05114023], [  0.97554377   0.97452351 -17.55809972], [0.00567649 0.00568051 0.00599211], [0.06102389 0.06105029 0.06278645], [  0.96500631   0.9635234  -26.77076186], [0.0056763  0.00568038 0.00599205], [0.0610231  0.06105027 0.06278618], [  0.96500752   0.96352426 -26.77049996]
16, 7355197, [0.00397413 0.00397413 0.00397413], [0.05117706 0.05117706 0.05117706], [  0.97601261   0.97448973 -21.1963633 ], [0.00568852 0.00568488 0.00599638], [0.06108682 0.06106728 0.06280428], [  0.96566908   0.96349434 -32.08049053], [0.00568852 0.00568488 0.00599638], [0.06108681 0.06106726 0.06280427], [  0.96566909   0.96349436 -32.08048527]
17, 1889018, [0.00396897 0.00396897 0.00396897], [0.05114476 0.05114476 0.05114476], [  0.97577261   0.97478596 -26.60129522], [0.00567882 0.00568219 0.0059972 ], [0.06103234 0.06105538 0.0628133 ], [  0.96532493   0.9638957  -40.30445938], [0.00567882 0.00568219 0.00599719], [0.06103231 0.06105538 0.06281329], [  0.96532496   0.96389572 -40.3044497 ]
18, 9454550, [0.00396766 0.00396766 0.00396766], [0.05113646 0.05113646 0.05113646], [  0.9745347    0.97651958 -20.36062299], [0.00567904 0.00568086 0.00598908], [0.06103919 0.06104699 0.06276844], [  0.96354094   0.9663887  -30.92393091], [0.00567894 0.00568096 0.00598908], [0.06103917 0.06104779 0.06276845], [  0.96354156   0.96638811 -30.92391879]
19, 5848420, [0.00397233 0.00397233 0.00397233], [0.05116589 0.05116589 0.05116589], [  0.97557078   0.97721618 -34.70369025], [0.0056897  0.00568928 0.00599805], [0.06109527 0.06108873 0.06281705], [  0.96501413   0.96737969 -52.37639153], [0.0056897  0.00568928 0.00599805], [0.06109527 0.06108873 0.06281705], [  0.96501413   0.96737968 -52.37639118]
20, 858198, [0.0039911 0.0039911 0.0039911], [0.05128353 0.05128353 0.05128353], [  0.9751963    0.9745901  -20.10032078], [0.00570463 0.00570373 0.0060163 ], [0.06117224 0.0611664  0.06290716], [  0.96454761   0.96366859 -30.37075607], [0.00570371 0.0057023  0.00601591], [0.06116803 0.06115902 0.06290506], [  0.96455332   0.96367766 -30.36871708]
21, 7312107, [0.00396789 0.00396789 0.00396789], [0.05113802 0.05113802 0.05113802], [  0.97594522   0.97505115 -41.47542273], [0.00568724 0.00568598 0.0059947 ], [0.06108149 0.06107441 0.06279656], [  0.96552922   0.96423803 -62.53110698], [0.00568724 0.00568598 0.0059947 ], [0.06108149 0.06107441 0.06279656], [  0.96552922   0.96423803 -62.53110697]
22, 5595506, [0.00397644 0.00397644 0.00397644], [0.0511915 0.0511915 0.0511915], [  0.97452976   0.97543682 -18.71229306], [0.00568588 0.00568841 0.00599832], [0.0610719  0.06108572 0.06281386], [  0.96356574   0.96485868 -28.35093656], [0.00568565 0.00568828 0.00599826], [0.06107068 0.06108507 0.06281354], [  0.96356723   0.96485949 -28.35064505]
23, 6243214, [0.00398374 0.00398374 0.00398374], [0.05123734 0.05123734 0.05123734], [  0.97455499   0.97532195 -19.47835319], [0.00569522 0.00569622 0.00600701], [0.06112131 0.06112694 0.0628586 ], [  0.96360699   0.96471258 -29.45721991], [0.00569483 0.00569579 0.00600688], [0.06111929 0.06112466 0.06285786], [  0.9636095    0.96471528 -29.45652545]
24, 1605699, [0.00396803 0.00396803 0.00396803], [0.05113888 0.05113888 0.05113888], [  0.97599351   0.97492519 -34.76231531], [0.00568288 0.00568352 0.00599962], [0.06105477 0.06106194 0.06282726], [  0.96560913   0.96407736 -52.52478308], [0.00568278 0.00568333 0.00599957], [0.06105421 0.06106107 0.062827  ], [  0.96560974   0.96407853 -52.52435181]
25, 4770346, [0.00398328 0.00398328 0.00398328], [0.05123443 0.05123443 0.05123443], [  0.97423628   0.97583522 -16.91474988], [0.00569149 0.00569509 0.00600418], [0.06110148 0.06112069 0.06284393], [  0.96317105   0.96545256 -25.6451876 ], [0.00569149 0.00569509 0.00600418], [0.06110147 0.06112069 0.06284393], [  0.96317106   0.96545256 -25.64518617]
26, 8078976, [0.00397392 0.00397392 0.00397392], [0.05117572 0.05117572 0.05117572], [  0.97519331   0.97481212 -20.72187572], [0.00568563 0.00568549 0.00599692], [0.06107119 0.06107026 0.06280702], [  0.96450424   0.96395021 -31.36887304], [0.0056851  0.00568506 0.00599676], [0.0610684  0.06106802 0.06280615], [  0.96450756   0.96395298 -31.3680108 ]
27, 3503384, [0.00396763 0.00396763 0.00396763], [0.05113619 0.05113619 0.05113619], [  0.97510339   0.97498276 -21.10924955], [0.00567983 0.00567914 0.00599026], [0.06104094 0.0610371  0.06277281], [  0.96435115   0.96418204 -31.98201166], [0.00567879 0.00567785 0.00598988], [0.06103557 0.06103026 0.06277072], [  0.96435767   0.96419018 -31.97989819]
28, 2323872, [0.00397305 0.00397305 0.00397305], [0.05117046 0.05117046 0.05117046], [  0.97519845   0.97589711 -55.8148347 ], [0.00569343 0.00569348 0.00600961], [0.06111519 0.06111226 0.06288042], [  0.96445469   0.96544754 -84.0495078 ], [0.00569258 0.00569307 0.00600939], [0.06111068 0.06110989 0.06287922], [  0.96446003   0.96545001 -84.04649572]
